Question,Accent_Answer,Confident_Answer
What is the difference between an abstract class and an interface?,"""Abstract class allow shared code and method implementations, while interface enforce contract without implementation. Abstract class best for common behavior across subclasses, whereas interface good for define capability that many unrelated class can implement.""","""An abstract class allows shared code and method implementations, while an interface enforces a contract without implementation. Abstract classes are best for common behavior across subclasses, whereas interfaces are ideal for defining capabilities that multiple unrelated classes can implement."""
"How would you optimize a database query that is running slowly?

","""To optimize slow query, first I analyze execution plan to find bottlenecks. I apply indexing, optimize joins, reduce unnecessary data retrieval, and ensure proper database normalization. If need, I also consider caching strategy.""","""To optimize a slow query, I first analyze the execution plan to identify bottlenecks. I apply indexing, optimize joins, reduce unnecessary data retrieval, and ensure proper database normalization. If needed, I also consider caching strategies."""
Can you explain the CAP theorem?,"""CAP theorem say distributed database cannot provide consistency, availability, and partition tolerance at same time. System must make trade-off, like prioritize consistency for banking application or availability for social media platform.""","""The CAP theorem states that a distributed database cannot simultaneously provide consistency, availability, and partition tolerance. Systems must make trade-offs, such as prioritizing consistency in banking applications or availability in social media platforms."""
How do you handle conflicts in a team setting?,"""I handle conflict by listen actively to all, find root cause, and help discussion to reach resolution. I focus on collaboration and ensure all voice are heard to keep productive work environment.""","""I handle conflicts by actively listening to all parties, identifying the root cause, and facilitating a constructive discussion to reach a resolution. I focus on collaboration and ensure all voices are heard to maintain a productive work environment."""
"What are design patterns, and can you give an example?","""Design pattern are proven solution to common software design problem. For example, Singleton pattern make sure class have only one instance and provide global access. It used for configuration management, logging.""","""Design patterns are proven solutions to recurring software design problems. For example, the Singleton pattern ensures a class has a single instance and provides global access to it. It’s commonly used for configuration management and logging."""
What is the difference between multithreading and multiprocessing?,"""Multithreading allow multiple threads in single process to share memory and run parallel, while multiprocessing create separate process with own memory. Multithreading good for I/O-bound tasks, multiprocessing better for CPU-bound task.""","Multithreading allows multiple threads within a single process to share memory and run concurrently, while multiprocessing creates separate processes with their own memory space. Multithreading is useful for I/O-bound tasks, while multiprocessing is better for CPU-bound tasks.""
"
How do you handle memory management in a language like C?,"""In C, memory management need manual allocation with malloc and free. I follow best practice like avoid memory leak, use valgrind for debug, and make sure proper pointer handling to prevent segmentation fault.""","""In C, memory management involves manual allocation with malloc and deallocation with free. I follow best practices like avoiding memory leaks, using valgrind for debugging, and ensuring proper pointer handling to prevent segmentation faults."""
What is the purpose of a load balancer?,"""Load balancer distribute traffic across many servers to use resource better, avoid overload, and improve scalability, reliability. Common type include round-robin, least connections, and IP hash-based balancing.""","""A load balancer distributes incoming traffic across multiple servers to ensure optimal resource utilization, prevent overload, and improve scalability and reliability. Common types include round-robin, least connections, and IP hash-based balancing."""
How do you approach debugging a segmentation fault?,"""To debug segmentation fault, I check for null dereference, invalid memory access, buffer overflow. I use gdb to analyze core dump, valgrind to find memory leak, and review code changes step by step.""","""To debug a segmentation fault, I check for null dereferences, invalid memory accesses, and buffer overflows. I use gdb to analyze core dumps, valgrind to detect memory leaks, and systematically review recent code changes to identify the issue."""
Can you explain the difference between a linked list and an array?,"""Linked list dynamically allocated, allow efficient insertion, deletion. Array have fixed size but provide faster index access. Array better for random access, linked list better for dynamic resizing.""","""A linked list is dynamically allocated and supports efficient insertions and deletions, while an array has a fixed size and provides faster indexed access. Arrays are better for random access, whereas linked lists excel at dynamic resizing."""
